name,start_date,start_time,distance,moving_time,total_elevation_gain,type,kudos_count,comment_count,max_speed,average_speed,average_heartrate,max_heartrate,week
Lunch Run,2023-11-24,11:37:26,3.6702,20.066666666666666,46.4,Run,5,0,2.3664158265890483,5.468066491688539,150.5,174.0,47
Morning Run,2023-11-23,07:14:57,6.2033000000000005,33.93333333333333,17.3,Run,13,0,3.1387319522912747,5.469861065528935,156.9,174.0,47
Morning Run,2023-11-21,07:20:18,7.0171,36.166666666666664,59.8,Run,12,2,2.762125731963319,5.153576582148011,162.8,187.0,47
Run club!,2023-11-20,17:37:24,6.1311,36.666666666666664,28.1,Run,11,0,3.544590954203885,5.980145915560341,140.6,158.0,47
Afternoon Run,2023-11-18,16:09:12,7.3183,38.38333333333333,63.3,Run,6,0,2.822944896115628,5.244388504300399,159.8,188.0,46
Morning Run,2023-11-16,07:16:29,6.043,33.7,25.2,Run,8,0,3.8278977185729595,5.576000892160144,161.0,177.0,46
Afternoon Run,2023-11-13,17:34:05,2.4359,15.016666666666667,14.1,Run,2,0,3.3187309172972252,6.163708086785011,157.4,168.0,46
Afternoon Run,2023-11-07,16:45:31,5.0709,33.083333333333336,51.9,Run,6,0,2.349072116513977,6.523157208088715,133.9,165.0,45
Morning Run,2023-11-06,07:48:07,5.307600000000001,28.266666666666666,54.5,Run,5,0,3.0671083302662248,5.326515393629488,162.4,189.0,45
Great Trek Half,2023-10-28,08:33:49,21.3768,103.3,172.6,Run,16,3,3.1048186785891705,4.832318546438581,181.2,192.0,43
Morning Run,2023-10-27,08:42:40,4.6613,25.5,58.8,Run,6,0,3.231226573607341,5.469861065528935,168.8,184.0,43
Morning Run,2023-10-24,07:39:27,6.1144,34.36666666666667,48.5,Run,8,0,3.634249164122692,5.621135469364812,150.1,182.0,43
Morning Run,2023-10-21,07:31:46,7.0324,35.93333333333333,25.3,Run,8,3,2.897542883634678,5.109339873288372,,,42
Evening Run,2023-10-16,17:13:59,10.0395,55.96666666666667,17.0,Run,13,0,3.962593120938341,5.574136008918618,160.2,180.0,42
Morning Run,2023-10-13,09:10:34,8.3455,44.166666666666664,60.4,Run,9,0,3.5400736335315774,5.292685508627077,161.0,186.0,41
Morning Trail Run w Run Club!,2023-10-07,09:51:16,6.4772,46.03333333333333,109.1,Run,4,0,4.069010416666667,7.107320540156361,147.0,179.0,40
Morning Run,2023-10-04,06:41:58,5.0077,26.4,53.6,Run,6,0,3.899547652472313,5.272593061267531,161.6,190.0,40
Morning Run w Sean and Jordan!,2023-09-30,09:58:24,16.395599999999998,93.78333333333333,172.6,Run,7,0,3.824384274131865,5.719514985129261,171.6,192.0,39
Evening Run,2023-09-20,18:29:17,10.0746,53.7,22.7,Run,7,0,3.0727630285152405,5.3299221831361265,164.3,178.0,38
Evening Run,2023-09-19,18:05:49,5.219600000000001,28.8,49.9,Run,3,0,3.7537537537537533,5.516936996579499,152.2,182.0,38
Afternoon Run,2023-09-18,17:41:42,6.3651,53.21666666666667,76.5,Run,3,0,3.8660790226552235,8.362602441879913,147.8,178.0,38
Lunch Run,2023-09-16,12:21:04,8.4384,43.75,31.4,Run,6,0,2.3494032515741,5.184033177812338,166.6,185.0,37
Morning Run,2023-09-12,07:04:19,6.3042,32.5,49.2,Run,4,0,3.2847194849559846,5.155170636148056,168.7,194.0,37
Run club!,2023-09-11,17:35:35,6.2059,40.016666666666666,46.4,Run,5,0,3.847337642351493,6.447453255963895,150.0,177.0,37
Evening Run w Oliver!,2023-09-08,18:25:00,6.7505,38.11666666666667,22.1,Run,4,0,3.8278977185729595,5.645889792231256,159.6,181.0,36
Morning Run,2023-09-07,07:06:01,7.1594,37.65,63.3,Run,6,0,3.35750738651625,5.259282633848743,176.4,195.0,36
Morning Run,2023-09-05,07:10:17,7.6422,43.15,50.2,Run,5,0,3.7571385632702134,5.645889792231256,172.0,188.0,36
Evening Run,2023-09-03,18:04:40,4.7263,26.533333333333335,15.7,Run,3,0,3.7947783849423193,5.613562366677894,159.5,178.0,35
